t,track_id,x_pix,y_pix,z_m,d_pix
1758630081.404362,1,613,459,7.917,36
1758630081.451701,1,630,417,7.125,40
1758630081.451701,1,630,417,7.125,40
1758630081.5324357,1,620,358,5.182,55
1758630081.5820596,1,621,345,5.182,55
1758630081.5820596,2,550,454,4.130,69
1758630081.613131,1,621,336,4.191,68
1758630081.5820596,2,550,454,4.130,69
1758630081.613131,3,586,341,8.636,33
1758630081.659535,1,621,341,4.750,60
1758630081.5820596,2,550,454,4.130,69
1758630081.659535,3,589,342,9.500,30
1758630081.6929064,1,616,346,4.597,62
1758630081.5820596,2,550,454,4.130,69
1758630081.6929064,3,563,388,10.556,27
1758630081.7430582,1,623,350,4.914,58
1758630081.5820596,2,550,454,4.130,69
1758630081.7430582,3,594,352,8.382,34
1758630081.772097,1,624,354,5.000,57
1758630081.5820596,2,550,454,4.130,69
1758630081.772097,3,595,356,8.906,32
1758630081.8223908,1,625,355,4.385,65
1758630081.5820596,2,550,454,4.130,69
1758630081.8223908,3,596,359,8.636,33
1758630081.869595,1,618,360,5.000,57
1758630081.5820596,2,550,454,4.130,69
1758630081.869595,3,573,402,8.382,34
1758630081.9006286,1,629,360,5.182,55
1758630081.5820596,2,550,454,4.130,69
1758630081.9006286,3,576,403,8.636,33
1758630081.9006286,4,596,385,8.906,32
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630081.5820596,2,550,454,4.130,69
1758630081.9006286,3,576,403,8.636,33
1758630081.9499826,4,600,384,3.519,81
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630081.5820596,2,550,454,4.130,69
1758630081.9006286,3,576,403,8.636,33
1758630081.9811742,4,603,385,3.434,83
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630081.5820596,2,550,454,4.130,69
1758630081.9006286,3,576,403,8.636,33
1758630082.0279891,4,606,386,3.434,83
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630081.5820596,2,550,454,4.130,69
1758630081.9006286,3,576,403,8.636,33
1758630082.0606842,4,607,386,3.393,84
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630081.5820596,2,550,454,4.130,69
1758630081.9006286,3,576,403,8.636,33
1758630082.1092558,4,608,387,3.476,82
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630081.5820596,2,550,454,4.130,69
1758630081.9006286,3,576,403,8.636,33
1758630082.156656,4,608,393,2.767,103
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630081.5820596,2,550,454,4.130,69
1758630081.9006286,3,576,403,8.636,33
1758630082.1893666,4,611,392,2.822,101
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630082.237,2,600,463,8.143,35
1758630081.9006286,3,576,403,8.636,33
1758630082.237,4,613,385,3.032,94
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630082.2687218,2,606,457,6.951,41
1758630081.9006286,3,576,403,8.636,33
1758630082.2687218,4,616,382,3.000,95
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630082.3168619,2,615,453,5.700,50
1758630081.9006286,3,576,403,8.636,33
1758630082.3168619,4,606,393,3.654,78
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630082.348455,2,625,452,5.481,52
1758630081.9006286,3,576,403,8.636,33
1758630082.348455,4,611,393,4.191,68
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630082.348455,2,625,452,5.481,52
1758630081.9006286,3,576,403,8.636,33
1758630082.396021,4,620,406,2.664,107
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630082.348455,2,625,452,5.481,52
1758630081.9006286,3,576,403,8.636,33
1758630082.4279583,4,622,403,3.032,94
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630082.348455,2,625,452,5.481,52
1758630081.9006286,3,576,403,8.636,33
1758630082.477383,4,624,403,3.314,86
1758630081.9006286,5,603,362,8.636,33
1758630081.9499826,1,631,355,8.636,33
1758630082.348455,2,625,452,5.481,52
